SampleID	HaplotypeID	ContigID	ContigOrientation	SegmentStart	SegmentEnd	SegmentColor	SegmentOrientation	SegmentState	ContigLength
NA19239	h1	cluster12_h1tg000004l	+	3462691	3481503	cyan	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3530144	3566051	pink	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3566051	3590263	green	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3607911	3626738	cyan	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3675419	3701916	pink	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3701916	3726114	green	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3739993	3778893	purple	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3794075	3821673	beige	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3881209	3912407	pink	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3912407	3936587	green	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3954227	3973069	cyan	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	3986556	4028392	blue	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4090268	4136337	orange	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4190789	4232558	blue	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4250964	4269796	cyan	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4287454	4311634	green	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4311634	4342829	pink	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4391560	4410387	cyan	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4428058	4452230	green	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4452230	4483442	pink	invert	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4502406	4531284	beige	direct	complete	9644735
NA19239	h1	cluster12_h1tg000004l	+	4546470	4585356	purple	direct	complete	9644735
NA19239	h2	cluster12_h2tg000011l	+	963133	989621	pink	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	989261	1013800	green	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1027655	1066556	purple	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1081725	1109318	beige	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1112146	1159383	orange	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1172122	1203328	pink	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1203328	1227505	green	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1245144	1263984	cyan	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1284843	1336586	orange	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1336586	1364188	beige	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1379344	1418272	purple	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1432144	1456311	green	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1456311	1496958	pink	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1545607	1564459	cyan	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1582122	1606296	green	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1606296	1646930	pink	invert	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1665881	1694752	beige	direct	complete	10006745
NA19239	h2	cluster12_h2tg000011l	+	1709946	1748814	purple	direct	complete	10006745
NA19240	h1	cluster14_h1tg000002l	-	14921280	14935036	purple	direct	partial	14942855
NA19240	h1	cluster3_h1tg000034l	-	30386	66269	pink	invert	complete	411846
NA19240	h1	cluster3_h1tg000034l	-	66269	90472	green	invert	complete	411846
NA19240	h1	cluster3_h1tg000034l	-	108113	126951	cyan	invert	complete	411846
NA19240	h1	cluster3_h1tg000034l	-	149388	191195	blue	invert	complete	411846
NA19240	h1	cluster3_h1tg000034l	-	253078	299837	orange	direct	complete	411846
NA19240	h1	cluster3_h1tg000034l	-	312575	343782	pink	invert	complete	411846
NA19240	h1	cluster3_h1tg000034l	-	343782	367946	green	invert	complete	411846
NA19240	h1	cluster3_h1tg000034l	-	385597	404415	cyan	invert	complete	411846
NA19240	h1	cluster14_h1tg000030l	-	24982	54625	pink	invert	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	54625	78786	green	invert	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	96445	115270	cyan	invert	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	163971	196354	pink	invert	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	198354	222539	green	invert	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	240181	258993	cyan	invert	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	277389	319203	blue	invert	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	374519	421853	orange	direct	complete	533641
NA19240	h1	cluster14_h1tg000030l	-	476307	518113	blue	direct	complete	533641
NA19240	h2	cluster14_h2tg000010l	+	15640	57449	blue	direct	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	111905	157979	orange	direct	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	214561	256378	blue	invert	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	274774	293588	cyan	invert	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	311230	335417	green	invert	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	335417	369801	pink	invert	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	418505	437332	cyan	invert	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	454991	479154	green	invert	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	479154	508798	pink	invert	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	527761	556638	beige	direct	complete	591022
NA19240	h2	cluster14_h2tg000010l	+	571835	584161	purple	direct	partial	591022
NA24385	h1	cluster9_h1tg000012l	+	9788334	9814816	pink	direct	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	9814816	9839020	green	direct	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	9852892	9891827	purple	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	9906986	9934584	beige	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	9934584	9984590	orange	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	9997332	10023806	pink	direct	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10023806	10047976	green	direct	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10065615	10084458	cyan	direct	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10102861	10144636	blue	direct	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10206962	10254300	orange	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10308730	10350573	blue	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10368976	10387790	cyan	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10405434	10429664	green	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10429664	10469949	pink	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10478340	10526420	orange	direct	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10551684	10570537	cyan	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10588206	10612391	green	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10612391	10648305	pink	invert	complete	10720157
NA24385	h1	cluster9_h1tg000012l	+	10667254	10696128	beige	direct	complete	10720157
NA24385	h1	cluster9_h1tg000004l	-	82988338	83027224	purple	direct	complete	83452554
NA24385	h1	cluster9_h1tg000004l	-	83042425	83071299	beige	direct	complete	83452554
NA24385	h1	cluster9_h1tg000004l	-	83090252	83116740	pink	invert	complete	83452554
NA24385	h1	cluster9_h1tg000004l	-	83116740	83140916	green	invert	complete	83452554
NA24385	h1	cluster9_h1tg000004l	-	83158569	83177410	cyan	invert	complete	83452554
NA24385	h1	cluster9_h1tg000004l	-	83195822	83237602	blue	invert	complete	83452554
NA24385	h1	cluster9_h1tg000004l	-	83292055	83338138	orange	direct	complete	83452554
NA24385	h1	cluster9_h1tg000004l	-	83392674	83434460	blue	direct	complete	83452554
NA24385	h2	cluster9_h2tg000016l	-	11854893	11893778	purple	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	11908979	11937852	beige	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	11956804	11983291	pink	invert	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	11983291	12007467	green	invert	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12025118	12043958	cyan	invert	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12062370	12104149	blue	invert	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12158600	12204681	orange	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12259216	12301000	blue	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12319393	12338196	cyan	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12355845	12380015	green	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12380015	12411239	pink	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12554550	12580819	beige	invert	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12595987	12634903	purple	invert	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12648773	12672969	green	direct	complete	21710045
NA24385	h2	cluster9_h2tg000016l	-	12672969	12708896	pink	direct	complete	21710045
